epoch,loss,val_acc,val_f1,test_acc,test_f1
1,0.6139206664036896,0.6431226765799256,0.48387096774193555,,
2,0.5739281182571992,0.7323420074349443,0.6896551724137931,,
3,0.5783091485500336,0.48698884758364314,0.6461538461538462,,
4,0.5711327306294846,0.7063197026022305,0.6255924170616113,,
5,0.5363794938992645,0.7509293680297398,0.7697594501718213,,
6,0.5273649566254374,0.7620817843866171,0.7241379310344827,,
7,0.5283558636398639,0.7695167286245354,0.752,,
8,0.511501739590855,0.7695167286245354,0.7479674796747967,,
9,0.4987404881897619,0.7397769516728625,0.6846846846846848,,
10,0.4937030496233601,0.7806691449814126,0.7572016460905351,,
11,0.4840221596976458,0.7881040892193308,0.7849056603773585,,
12,0.4909194369437331,0.7732342007434945,0.7626459143968871,,
13,0.4682979669611333,0.7843866171003717,0.7698412698412699,,
14,0.47685845423552947,0.7769516728624535,0.7435897435897436,,
15,0.4571713790044946,0.79182156133829,0.7723577235772358,,
16,0.4756244370492838,0.7695167286245354,0.7416666666666667,,
17,0.46481462909003435,0.7843866171003717,0.7716535433070866,,
18,0.469187146526272,0.7769516728624535,0.7540983606557378,,
19,0.4843691380347236,0.7769516728624535,0.7500000000000001,,
20,0.469450322753292,0.7509293680297398,0.6968325791855203,,
21,0.4535008007186954,0.7881040892193308,0.7710843373493975,,
22,0.4441219790507171,0.8066914498141264,0.7952755905511811,,
23,0.44447987993895,0.7881040892193308,0.7729083665338645,,
24,0.45046750468722846,0.7806691449814126,0.7722007722007723,,
25,0.44149394080800525,0.7546468401486989,0.7,,
26,0.43786892648470604,0.8066914498141264,0.7851239669421487,,
27,0.42653240819098587,0.7769516728624535,0.7478991596638654,,
28,0.42126880813453155,0.8178438661710037,0.7983539094650205,,
29,0.4576423971329705,0.7732342007434945,0.7626459143968871,,
30,0.4445722562781835,0.7769516728624535,0.7560975609756098,,
31,0.4340576948755879,0.7806691449814126,0.790035587188612,,
32,0.4306560615866871,0.7881040892193308,0.7710843373493975,,
33,0.4205150147110729,0.7620817843866171,0.7168141592920353,,
34,0.4161886999667701,0.7843866171003717,0.7603305785123968,,
35,0.42239163639181754,0.7806691449814126,0.7572016460905351,,
36,0.4153670522115998,0.7806691449814126,0.7686274509803921,,
37,0.40360899017018786,0.7843866171003717,0.7734375000000001,,
38,0.39980486919314173,0.7843866171003717,0.7542372881355931,,
39,0.41500128881405973,0.7955390334572491,0.7755102040816326,,
40,0.4337347604460635,0.7806691449814126,0.7467811158798283,,
41,0.38054482487298674,0.7955390334572491,0.7773279352226721,,
42,0.41103511644622026,0.79182156133829,0.776,,
43,0.4016379463975712,0.7955390334572491,0.7717842323651452,,
44,0.398029228893377,0.7806691449814126,0.7551867219917012,,
45,0.3866208640195556,0.8029739776951673,0.7984790874524715,,
46,0.4089283258733103,0.7843866171003717,0.7583333333333333,,
47,0.4077969241445347,0.7992565055762082,0.7804878048780489,,
48,0.40133567406969556,0.7881040892193308,0.755364806866953,,
49,0.3911481542607485,0.7955390334572491,0.7876447876447876,,
50,0.39578263537358427,0.7992565055762082,0.7938931297709925,,
51,0.39810869097709656,0.7843866171003717,0.7542372881355931,,
52,0.3909841121758445,0.7843866171003717,0.7603305785123968,,
53,0.3816676298945637,0.8029739776951673,0.7818930041152263,,
54,0.39240873996484077,0.7992565055762082,0.7768595041322314,,
55,0.3733118865954674,0.79182156133829,0.768595041322314,,
56,0.393801380264557,0.7843866171003717,0.7603305785123968,,
57,0.3764215727983895,0.7843866171003717,0.7563025210084034,,
58,0.3855983882637347,0.8066914498141264,0.7919999999999999,,
59,0.3749190351720584,0.79182156133829,0.768595041322314,,
60,0.38402347089880606,0.7881040892193308,0.7615062761506277,,
61,0.38563912652306637,0.7620817843866171,0.7090909090909091,,
62,0.38513992070141484,0.7881040892193308,0.755364806866953,,
63,0.3734500675888385,0.7843866171003717,0.7521367521367521,,
64,0.3842581071085849,0.7881040892193308,0.7594936708860759,,
65,0.37912765877731774,0.8066914498141264,0.7936507936507937,,
66,0.3628124079461825,0.79182156133829,0.7647058823529412,,
67,0.3788775786504907,0.7806691449814126,0.7551867219917012,,
68,0.38397721769446036,0.7992565055762082,0.7652173913043478,,
69,0.3828775612479549,0.79182156133829,0.7586206896551724,,
70,0.38157703336012566,0.79182156133829,0.7985611510791366,,
71,0.3736957619755955,0.7806691449814126,0.7551867219917012,,
72,0.3975587782718368,0.7955390334572491,0.7924528301886792,,
73,0.3653356730937958,0.7769516728624535,0.7321428571428572,,
74,0.3913847511097536,0.7806691449814126,0.751054852320675,,
75,0.38895425377255777,0.7881040892193308,0.7574468085106384,,
76,0.3888911468497777,0.79182156133829,0.7565217391304347,,
77,0.38673688723879346,0.7769516728624535,0.7435897435897436,,
78,0.37957893539283233,0.79182156133829,0.768595041322314,,
79,0.3856029987840329,0.79182156133829,0.768595041322314,,
80,0.3868215912479465,0.7881040892193308,0.7532467532467533,,
81,0.36903556650978026,0.7881040892193308,0.797153024911032,,
82,0.3758656935671629,0.7992565055762082,0.782258064516129,,
83,0.3760886275667255,0.7992565055762082,0.782258064516129,,
84,0.37205329688928895,0.7881040892193308,0.755364806866953,,
85,0.3800703479071795,0.7955390334572491,0.7773279352226721,,
86,0.3686305430986114,0.79182156133829,0.7647058823529412,,
87,0.382465581267567,0.79182156133829,0.7777777777777778,,
88,0.37870431956598316,0.7955390334572491,0.7736625514403291,,
89,0.3847936631764396,0.79182156133829,0.7723577235772358,,
90,0.36876946132061844,0.7881040892193308,0.7654320987654322,,
91,0.3775709476006233,0.7806691449814126,0.7531380753138075,,
92,0.3712999052920584,0.7955390334572491,0.7736625514403291,,
93,0.3793988659725351,0.8104089219330854,0.7951807228915662,,
94,0.3816359757871951,0.7806691449814126,0.7551867219917012,,
95,0.3566128667128288,0.7843866171003717,0.7583333333333333,,
96,0.3675218795315694,0.7843866171003717,0.7563025210084034,,
97,0.3683422051243863,0.7881040892193308,0.7634854771784232,,
98,0.38004194503113375,0.8066914498141264,0.7886178861788617,,
99,0.3796244647543309,0.8141263940520446,0.8,,
100,0.36611689778707796,0.7955390334572491,0.761904761904762,0.7883211678832117,0.7433628318584069
